bookName,author,email,id,authorUrl,pmUrl,bookUrl,followerCount,pageCount,viewCount,chaptersCount,lastUpdateDate,dataCollectionDate,actionPlanned
Special Adviser Petalore: Man of Leisure,Riko Kosen,,31453,https://www.royalroad.com/profile/155660,https://www.royalroad.com/private/send/155660,https://www.royalroad.com/fiction/31453/special-adviser-petalore-man-of-leisure,1,28,106,3,MAY122020,15 Jun 2020 13:52:32 GMT,
Riven Isles,AloofFloof,,32569,https://www.royalroad.com/profile/166249,https://www.royalroad.com/private/send/166249,https://www.royalroad.com/fiction/32569/riven-isles,1,27,73,3,MAY192020,15 Jun 2020 13:52:32 GMT,
The Melting Pot,Mason Seitz,,32981,https://www.royalroad.com/profile/99758,https://www.royalroad.com/private/send/99758,https://www.royalroad.com/fiction/32981/the-melting-pot,1,25,78,3,JUNE092020,15 Jun 2020 13:52:32 GMT,
[Portuguese] Labirinto de Aquilla,AltenWho,,32744,https://www.royalroad.com/profile/167458,https://www.royalroad.com/private/send/167458,https://www.royalroad.com/fiction/32744/portuguese-labirinto-de-aquilla,1,25,45,2,MAY312020,15 Jun 2020 13:52:32 GMT,
Tales from Mana Land,Meister_Sparrow,,32409,https://www.royalroad.com/profile/165258,https://www.royalroad.com/private/send/165258,https://www.royalroad.com/fiction/32409/tales-from-mana-land,1,24,105,3,MAY212020,15 Jun 2020 13:52:32 GMT,
Jalapeño Man,Street Level,,32809,https://www.royalroad.com/profile/148935,https://www.royalroad.com/private/send/148935,https://www.royalroad.com/fiction/32809/jalapeno-man,1,24,35,2,JUNE132020,15 Jun 2020 13:52:32 GMT,
The Emperor’s Fake Second Son,michan,,33192,https://www.royalroad.com/profile/169838,https://www.royalroad.com/private/send/169838,https://www.royalroad.com/fiction/33192/the-emperors-fake-second-son,1,32,76,4,JUNE142020,15 Jun 2020 13:52:32 GMT,
Eldergrove,Maiz,,32699,https://www.royalroad.com/profile/143726,https://www.royalroad.com/private/send/143726,https://www.royalroad.com/fiction/32699/eldergrove,1,23,264,6,MAY242020,15 Jun 2020 13:52:32 GMT,
Snowballing a lit rpg adventure,Alexander Hemming,,31979,https://www.royalroad.com/profile/121512,https://www.royalroad.com/private/send/121512,https://www.royalroad.com/fiction/31979/snowballing-a-lit-rpg-adventure,1,23,91,3,JUNE082020,15 Jun 2020 13:52:32 GMT,
Female Protagonist?,Bobidi Bop,,33065,https://www.royalroad.com/profile/110012,https://www.royalroad.com/private/send/110012,https://www.royalroad.com/fiction/33065/female-protagonist,1,22,177,5,JUNE132020,15 Jun 2020 13:52:32 GMT,
